"No.","Time","Source","Destination","Protocol","Length","Info","TS","Seq"
"39","0.380177","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15632, Time=1628632095","1628632095","15632"
"40","0.382488","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15632, Time=1628632095","1628632095","15632"
"41","0.399240","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15633, Time=1628632255","1628632255","15633"
"42","0.401236","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15633, Time=1628632255","1628632255","15633"
"43","0.419185","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15634, Time=1628632415","1628632415","15634"
"44","0.421436","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15634, Time=1628632415","1628632415","15634"
"45","0.439228","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15635, Time=1628632575","1628632575","15635"
"46","0.441641","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15635, Time=1628632575","1628632575","15635"
"47","0.460190","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15636, Time=1628632735","1628632735","15636"
"48","0.462242","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15636, Time=1628632735","1628632735","15636"
"49","0.480118","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15637, Time=1628632895","1628632895","15637"
"50","0.482452","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15637, Time=1628632895","1628632895","15637"
